Titulo,URL,Fecha
Robotic Process Automation and Risk Mitigation: The Definitive Guide,/-/es/dp/0995682038/ref=sr_1_71?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547056&sr=8-71,
Arduino for Beginners: Step-by-Step Guide to Arduino (Arduino Hardware & Software),/-/es/Simon-Knight-ebook/dp/B07GXLY86V/ref=sr_1_72?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547056&sr=8-72,
"Automate and Grow: A Blueprint for Startups, Small and Medium Businesses to Automate Marketing, Sales and Customer Support",/-/es/Michael-Devellano/dp/1977842216/ref=sr_1_73?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547056&sr=8-73,7 septiembre 2017
"Programming and Automating Cisco Networks: A guide to network programmability and automation in the data center, campus, and WAN (Networking Technology)",/-/es/Ryan-Tischer/dp/1587144654/ref=sr_1_74?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547056&sr=8-74,18 septiembre 2016
The Practice of System and Network Administration: Volume 1: DevOps and other Best Practices for Enterprise IT (3rd Edition),/-/es/Thomas-Limoncelli/dp/0321919165/ref=sr_1_75?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547056&sr=8-75,14 noviembre 2016
Smart Home Automation Essential Guides - The Complete Series,/-/es/Gerard-ODriscoll/dp/1520491484/ref=sr_1_76?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547056&sr=8-76,31 enero 2017
Automation Applications in Bio-Pharmaceuticals,/-/es/George-Buckbee/dp/1934394254/ref=sr_1_77?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547056&sr=8-77,25 enero 2008
"Ktyssp - Paraguas automático de 3 pliegues de plástico negro, resistente al viento, impermeable, para hombre y mujer, compacto",/-/es/Ktyssp-Paraguas-autom%C3%A1tico-resistente-impermeable/dp/B07Y32M9X8/ref=sr_1_78?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547056&sr=8-78,
PLC Programming Using RSLogix 500: A Practical Guide to Ladder Logic and the RSLogix 500 Environment,/-/es/Nathan-Clark/dp/1729167608/ref=sr_1_79?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547056&sr=8-79,23 octubre 2018
The First Book of Machines,/-/es/Walter-Buehr/dp/0692973958/ref=sr_1_80?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547056&sr=8-80,1 noviembre 2017
"IEC 61131-3: Programming Industrial Automation Systems: Concepts and Programming Languages, Requirements for Programming Systems, Decision-Making Aids",/-/es/Karl-Heinz-John/dp/3642120148/ref=sr_1_81?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547058&sr=8-81,10 septiembre 2010
Fundamentals of Industrial Controls and Automation,/-/es/Lonnie-L-Smith/dp/0943719046/ref=sr_1_82?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547058&sr=8-82,1 enero 1996
Information Technology and the U.S. Workforce: Where Are We and Where Do We Go from Here?,/-/es/Engineering-Medicine-National-Academies-Sciences/dp/0309454026/ref=sr_1_83?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547058&sr=8-83,18 mayo 2017
"Making Wooden Gear Clocks: 6 Cool Contraptions That Really Keep Time (Fox Chapel Publishing) Step-by-Step Projects for Handmade Clocks, from Beginner to Advanced; Includes Full-Size Pattern Pack",/-/es/Editors-Scroll-Saw-Woodworking-Crafts/dp/1565238893/ref=sr_1_84?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547058&sr=8-84,23 febrero 2016
"Home Security Guide: How to Protect Your Home & Family with Security Systems, Cameras, Companies, Alarms, & Automation",/-/es/Bob-Jones/dp/0359686451/ref=sr_1_85?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547058&sr=8-85,25 mayo 2019
How to Prepare Now for What's Next: A Guide to Thriving in an Age of Disruption,/-/es/Michael-McQueen/dp/0730349845/ref=sr_1_86?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547058&sr=8-86,23 enero 2018
Machine Learning for Cyber Physical Systems: Selected papers from the International Conference ML4CPS 2018 (Technologien für die intelligente Automation Book 9),/-/es/J%C3%BCrgen-Beyerer-ebook/dp/B07LGRSJ89/ref=sr_1_87?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547058&sr=8-87,
Robotic Process Automation (RPA): Business Presentation (FlevyPro Frameworks),/-/es/FlevyPro-Library-ebook/dp/B07YMM25P1/ref=sr_1_88?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547058&sr=8-88,
"The Future of Work: Robots, AI, and Automation",/-/es/Darrell-M-West/dp/0815732937/ref=sr_1_89?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547058&sr=8-89,15 mayo 2018
The Value of Automation: The Best Investment an Industrial Company Can Make,/-/es/Peter-G-Martin-PhD/dp/0876640927/ref=sr_1_90?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547058&sr=8-90,1 junio 2015
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",/-/es/Al-Sweigart/dp/1593279922/ref=sr_1_91?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547058&sr=8-91,12 noviembre 2019
Amazon Echo Auto User's Manual: A No-Fluff Guide to Installing and Controlling Your Car with Alexa And Troubleshooting Common Problems,/-/es/Charles-Smith-ebook/dp/B07MGDMX3N/ref=sr_1_92?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547058&sr=8-92,
Windows Server 2016 Automation with PowerShell Cookbook - Second Edition: Automate manual administrative tasks with ease,/-/es/Thomas-Lee/dp/1787122042/ref=sr_1_93?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547058&sr=8-93,21 septiembre 2017
Automation and Utopia: Human Flourishing in a World without Work,/-/es/John-Danaher/dp/0674984242/ref=sr_1_94?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547058&sr=8-94,24 septiembre 2019
"MICRA #1, VF, Mind Controlled Remote Automation, Comics Interview, 1986",/-/es/dp/B079K527XS/ref=sr_1_95?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547058&sr=8-95,
OPC UA: The Basics: An OPC UA Overview For Those Who May Not Have a Degree in Embedded Programming,/-/es/Mr-John-Rinaldi/dp/1482375885/ref=sr_1_96?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547058&sr=8-96,20 febrero 2013
"Automating and Testing a REST API: A Case Study in API testing using: Java, REST Assured, Postman, Tracks, cURL and HTTP Proxies",/-/es/Alan-Richardson-ebook/dp/B074ZH8R43/ref=sr_1_97?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547061&sr=8-97,
The Goal is Industry 4.0: Technologies and Trends of the Fourth Industrial Revolution,/-/es/Fran-Y%C3%A1%C3%B1ez/dp/1973413175/ref=sr_1_98?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547061&sr=8-98,28 noviembre 2017
CNC Milling in the Workshop (Crowood Metalworking Guides),/-/es/Marcus-Bowman/dp/1847975127/ref=sr_1_99?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547061&sr=8-99,1 abril 2014
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,/-/es/Al-Sweigart/dp/1593275994/ref=sr_1_100?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=automation+books&qid=1574547061&sr=8-100,14 abril 2015
